CTAB,Water,GCH,AA,SN,GS
416,476,256,40,8,104
416,428,256,24,72,104
416,412,256,40,72,104
416,444,256,48,32,104
416,428,256,56,40,104
416,412,256,64,48,104
416,460,256,56,8,104
416,372,256,128,24,104
416,356,256,128,40,104
416,340,256,128,56,104
