 ,Area,Mean,Min,Max,Angle,Length
1,11.034,120.372,76,213,29.836,20.848
2,16.552,115.222,53,186,10.437,30.829
3,14.005,63.187,32,209,-49.525,26.222
4,12.873,125.077,78,212,-44.556,24.261
5,10.115,122.371,79,175,31.239,18.975
6,12.449,110.642,75,222,-45.458,23.508
7,13.581,101.120,66,235,23.902,25.600
8,18.108,106.379,74,244,-58.042,34.168
9,18.815,92.726,65,162,-83.660,33.717
10,13.156,120.516,98,201,4.917,24.825
11,18.320,65.193,29,166,21.228,34.523
12,14.005,95.914,58,205,10.408,26.500
13,12.873,111.280,75,208,11.434,24.149
14,12.591,96.152,66,220,19.047,23.634
15,16.622,106.813,81,205,5.371,31.254
16,10.327,100.863,58,203,10.235,19.459
17,11.600,76.701,0,199,5.572,21.912
18,14.076,87.940,63,146,4.044,26.396
19,16.976,73.662,18,202,-73.856,31.564
20,11.883,109.619,82,173,8.227,22.304
21,13.156,103.516,35,170,3.814,23.989
22,15.915,88.880,51,181,8.130,28.209
23,8.417,105.008,70,203,6.766,15.802
24,11.247,64.528,6,217,-89.275,21.012
25,11.459,129.130,99,208,2.827,21.569
26,18.461,63.617,19,204,-60.092,34.670
27,13.298,96.362,33,175,7.275,25.203
28,7.922,122.973,88,214,5.102,14.953
29,15.561,66.464,35,160,11.514,29.313
30,15.703,94.991,63,200,11.004,29.261
31,14.430,104.804,80,198,10.758,27.072
32,8.559,113.174,85,165,10.561,15.962
33,13.439,60.553,30,161,9.067,25.316
34,14.713,99.596,80,149,8.915,27.459
35,19.381,88.719,45,169,3.342,36.498
36,16.835,101.811,80,168,9.700,31.568
37,12.661,42.112,10,144,1.931,23.684
38,15.561,33.514,6,129,-2.603,29.286
39,8.771,108.379,81,173,-0.924,16.492
40,5.659,131.225,109,195,1.432,10.642
41,13.015,86.761,60,154,-85.030,24.560
42,15.491,98.301,62,166,2.626,29.020
43,10.469,94.169,45,201,11.004,19.508
44,12.732,102.833,54,193,-45.451,23.884
45,15.278,34.931,0,146,-84.710,28.846
46,13.864,88.281,59,170,14.178,26.060
47,12.732,81.744,42,170,12.529,24.520
48,12.944,43.372,17,128,17.241,24.227
49,13.864,69.536,53,148,-84.753,26.174
50,10.964,72.942,38,171,6.667,20.618
51,13.581,86.375,33,185,10.954,25.193
52,16.693,102.089,78,165,11.215,31.452
53,15.208,38.135,14,158,2.726,27.957
54,7.073,114.260,88,193,3.434,13.322
55,19.239,84.397,43,200,13.627,36.123
56,14.359,95.192,59,184,5.092,26.968
57,7.568,113.925,97,160,5.389,14.158
58,7.286,122.602,99,184,24.075,13.691
59,33.386,23.684,0,146,-77.260,62.714
60,13.652,106.503,60,178,15.046,25.612
61,14.642,91.710,70,180,16.327,27.436
62,9.832,106.849,75,195,14.237,18.384
63,13.934,79.442,52,177,-15.866,26.267
64,16.976,87.638,60,207,11.592,31.765
65,14.288,69.748,29,148,-44.599,26.893
66,16.835,76.983,35,167,2.886,31.689
67,11.034,66.994,34,128,18.667,20.774
68,13.298,48.271,25,120,4.259,25.069
69,16.976,63.633,33,186,4.764,32.026
70,7.356,115.894,96,158,8.746,13.992
71,15.986,77.296,40,165,7.628,30.053
72,9.054,107.141,82,143,-14.470,17.030
73,13.864,63.811,31,152,-1.753,26.076
74,15.986,45.027,12,134,4.050,30.128
75,16.269,69.378,37,185,-0.996,30.590
76,15.844,44.442,1,170,-0.512,29.788
77,18.957,50.269,16,171,0.428,35.639
78,15.491,74.950,25,165,-0.526,28.991
79,12.873,70.214,39,180,3.772,24.255
80,15.278,61.731,14,175,1.061,28.728
81,13.015,76.560,45,145,1.868,24.481
82,8.347,111.110,90,171,-1.975,15.435
83,10.044,97.768,73,158,-6.429,19.002
84,13.298,64.484,20,166,-0.610,25.001
85,14.005,78.535,42,182,-1.169,26.069
86,15.420,73.362,40,162,2.102,29.009
87,13.722,73.273,44,163,-1.181,25.803
88,20.230,49.164,21,158,0.801,38.036
89,15.137,60.369,17,181,-14.554,28.577
90,12.591,72.961,44,155,2.573,23.694
91,14.642,81.082,56,172,-0.556,27.395
92,11.034,61.026,30,134,0.735,20.746
93,13.086,114.854,63,165,-26.288,24.621
94,8.771,94.371,66,181,-0.924,16.492
95,17.825,64.282,42,131,63.027,33.423
96,14.430,69.632,3,164,13.627,27.092
97,14.005,80.773,56,142,79.592,26.500
98,13.227,73.663,47,159,0.616,24.735
99,11.742,82.747,58,171,0.000,22.074
100,14.925,99.550,69,182,32.638,28.109
101,15.278,78.361,39,187,91.591,28.734
102,9.054,98.492,65,146,36.690,16.915
103,14.005,72.313,35,166,18.252,26.324
104,14.288,75.173,41,225,6.277,26.756
105,12.166,108.459,57,172,0.000,22.872
106,12.025,105.129,75,185,0.000,22.606
107,13.581,74.500,45,152,0.000,25.532
108,18.674,79.212,56,160,-78.690,32.547
109,13.015,99.467,82,148,95.194,23.501
110,14.217,105.333,73,194,1.736,26.342
111,19.239,82.162,54,140,-87.054,36.218
112,19.947,61.940,30,152,5.305,37.394
113,23.554,87.330,37,182,14.287,44.186
114,16.976,53.958,11,143,-82.278,31.670
115,7.568,119.617,90,171,3.240,14.118
116,14.217,78.801,52,181,49.830,26.800
117,16.764,61.262,37,148,38.130,31.444
118,15.844,60.871,35,169,42.825,29.735
119,15.278,61.185,26,151,-82.093,28.999
120,17.259,76.799,21,162,-73.796,32.404
121,17.259,90.984,55,212,-84.382,32.603
122,16.127,103.561,47,255,8.059,30.353
123,14.076,69.578,34,150,13.339,26.513
124,14.076,95.789,56,228,7.481,26.556
125,12.308,85.511,46,171,17.819,23.466
126,10.186,72.896,43,174,16.164,19.106
127,9.054,142.352,113,193,-87.316,17.040
128,15.278,100.676,68,157,-78.794,28.739
129,12.732,104.883,36,170,7.595,24.148
130,16.552,70.496,15,160,-81.663,31.181
131,14.147,88.815,59,155,1.718,26.608
132,11.317,106.450,58,204,5.001,21.358
133,13.298,114.707,75,251,11.669,24.984
134,13.722,105.335,75,229,26.828,25.929
