 ,Area,Mean,Min,Max,Angle,Length
1,8.707,102.506,70,166,-70.253,19.095
2,12.317,26.211,0,201,-53.032,26.82
3,6.796,68.992,39,131,-55.814,14.763
4,7.486,86.695,36,170,-46.146,16.296
5,7.645,129.049,91,206,-20.556,15.749
6,9.928,98.15,61,197,-65.353,21.548
7,7.751,108.699,69,188,27.613,16.902
8,7.273,116.219,90,172,30.677,15.807
9,7.433,93.214,60,187,-0.818,16.131
10,8.813,94.494,64,218,9.009,19.13
11,9.609,89.967,49,178,45.895,20.857
12,3.398,139.141,113,196,28.179,7.319
13,7.857,87.892,49,137,101.004,16.901
14,11.255,29.108,0,224,50.332,24.545
15,6.371,89.5,54,202,-63.435,15.457
16,6.318,131.37,101,207,26.996,13.705
17,9.875,67.737,16,196,91.232,21.434
18,7.327,53.159,20,189,22.874,16.005
19,8.813,100.241,63,165,-45.49,19.063
20,9.132,72.087,25,180,49.686,19.944
21,7.114,78.485,13,194,111.961,15.403
22,8.919,65.577,26,187,6.87,19.263
23,9.025,69.659,38,211,105.018,19.562
24,6.371,127.767,101,181,82.278,13.719
25,10.193,85.516,26,178,14.47,22.131
26,9.556,94.678,66,155,105.593,20.573
27,9.238,81.069,37,153,6.633,19.949
28,6.849,96.915,55,176,13.392,14.922
29,5.84,103.382,61,193,-10.305,12.881
30,9.344,111.392,74,189,94.548,20.341
31,8.972,100.988,63,194,20.158,19.39
32,6.105,114.774,86,142,5.194,12.725
33,9.132,73.68,44,153,94.653,19.881
34,8.282,82.103,30,167,76.504,17.772
35,8.495,96.556,68,167,94.289,18.485
36,9.132,105.808,64,179,-16.314,19.687
37,8.866,112.455,73,200,83.811,19.237
38,9.238,94.77,42,207,95.254,20.131
39,6.052,107.649,66,172,92.01,13.142
40,10.724,83.896,46,206,25.805,23.29
41,8.176,82.247,41,156,42.374,17.778
42,10.618,77.915,32,125,84.232,22.927
43,7.645,83.639,25,165,-7.125,16.719
44,10.406,78.204,23,158,0,22.581
45,9.45,69.258,17,179,-67.479,20.454
46,7.539,95.077,40,213,90,16.359
47,7.433,96.971,57,174,0,16.129
48,9.875,82.14,54,139,9.26,21.478
49,8.601,86.389,49,184,-2.827,18.686
50,10.353,80.39,49,133,-8.13,21.181
51,7.857,99.405,40,207,0,17.051
52,4.46,141.333,106,174,36.327,9.724
53,6.689,82.286,54,154,10.784,14.777
54,7.645,92.84,63,145,-38.784,16.553
55,8.07,97.382,70,137,74.476,17.218
56,6.052,115.763,77,151,4.014,13.166
57,8.495,66.1,36,126,-0.716,18.435
58,8.176,92.351,65,151,29.932,17.548
59,11.415,56.944,28,165,92.726,24.221
60,7.008,88.144,56,132,41.186,14.696
61,6.849,103.341,64,159,92.726,14.533
62,9.344,49.801,25,165,92.603,20.297
63,9.769,62.913,35,117,4.351,21.259
64,10.034,63.614,35,117,5.528,21.529
65,8.495,85.044,68,122,-93.576,18.469
66,9.238,51.799,21,148,6.633,19.949
67,6.902,97.8,67,158,3.521,15.005
68,8.813,67.102,28,139,-87.241,19.147
69,6.636,97.304,53,136,13.815,14.474
70,7.645,76.007,24,194,20.186,16.694
71,7.539,79.81,44,184,-85.17,16.418
72,6.796,61.859,32,175,10.62,15.004
73,7.645,86.958,55,165,26.565,18.548
74,12.211,46.313,19,110,-109.22,26.598
75,10.937,89.51,52,144,23.565,23.63
76,10.14,70.44,40,109,-56.143,21.92
77,7.433,64.193,38,107,-65.624,16.19
78,9.875,67.156,32,132,22.479,21.694
79,6.902,105.477,76,150,1.762,14.984
80,8.282,73.128,21,160,43.452,18.092
81,7.433,39.686,7,161,-58.339,16.242
82,9.556,29.889,0,179,27.408,21.023
83,7.008,42.75,6,142,33.207,15.146
84,9.132,72.215,22,187,33.136,19.812
85,7.008,78.447,48,105,-59.184,15.293
86,8.813,44.554,0,160,1.38,19.13
87,12.105,50.961,8,109,-113.86,26.203
88,8.76,91.188,50,131,28.113,19.07
89,6.796,78.375,43,152,-47.49,15.004
90,8.282,44.519,8,115,-46.548,18.092
