 ,Area,Mean,Min,Max,Angle,Length
1,5.159,83.662,28,182,-86.906,16.945
2,2.324,69.470,24,175,-1.146,7.623
3,8.249,126.003,97,178,12.704,27.034
4,2.022,132.885,96,184,-69.905,6.655
5,7.390,125.403,92,161,10.531,24.188
6,2.091,131.567,100,189,-78.440,6.846
7,3.997,123.733,96,168,16.955,13.068
8,1.952,124.583,89,196,-62.241,6.546
9,7.668,102.473,66,159,32.338,25.078
10,2.115,97.495,70,158,-53.881,6.982
11,7.390,52.091,15,98,-13.861,24.180
12,2.603,60.911,9,148,71.565,7.713
13,8.180,127.901,102,224,14.511,26.768
14,1.952,131.786,96,168,109.290,6.460
15,9.295,115.882,82,150,-5.768,30.336
16,2.440,119.324,82,160,81.870,7.545
17,6.925,108.993,67,210,-65.842,22.721
18,2.324,118.720,82,181,23.499,7.646
19,4.206,81.536,62,99,24.027,13.853
20,2.184,93.702,64,132,-55.620,7.019
21,4.810,69.198,43,94,89.444,15.702
22,2.184,72.266,48,118,0.000,7.165
23,7.343,91.418,58,140,25.432,24.138
24,2.393,106.252,74,158,-56.004,7.906
25,5.391,89.879,58,126,38.351,17.689
26,1.998,104.070,72,185,-49.686,6.597
