 ,Area,Mean,Min,Max,Angle,Length
1,17.077,116.422,92,144,-89.530,32.276
2,6.089,136.034,85,248,-1.332,11.379
3,11.898,76.182,47,100,92.694,22.512
4,3.849,85.145,11,209,2.121,7.148
5,15.117,59.292,30,132,-61.557,28.883
6,6.019,65.942,26,183,25.346,11.124
7,15.257,132.624,109,173,81.055,28.923
8,5.739,139.232,85,194,-5.572,10.898
9,16.937,107.331,78,197,74.703,32.089
10,5.389,121.714,85,202,-18.435,9.202
11,12.878,138.473,104,180,72.943,24.352
12,5.529,141.873,85,233,-19.359,10.375
13,20.156,112.396,84,166,38.157,37.681
14,4.899,123.400,85,157,124.592,9.320
15,10.498,130.967,104,178,49.899,19.714
16,4.199,137.033,85,217,138.991,8.063
17,10.218,128.582,97,186,33.254,19.298
18,4.409,128.571,85,213,127.235,8.307
19,16.517,128.653,34,182,62.128,31.124
20,4.619,153.273,85,227,149.036,9.255
21,14.697,104.614,80,165,-32.932,27.737
22,4.969,111.056,67,206,49.574,9.383
23,13.927,121.005,87,250,-26.822,26.384
24,5.879,113.536,85,222,61.607,11.127
25,18.617,95.323,60,254,80.467,35.141
26,6.159,116.920,80,219,169.461,11.571
27,15.957,119.539,97,163,50.389,29.875
28,4.479,132.234,85,221,137.490,8.613
29,10.918,123.442,70,200,61.390,19.889
30,3.639,140.462,85,212,152.447,6.863
31,14.417,122.864,91,194,88.877,26.989
32,4.199,128.833,85,183,0.000,7.937
33,12.878,119.826,77,179,11.921,24.334
34,4.899,116.943,85,192,101.634,9.183
35,18.756,101.239,40,176,33.096,35.368
36,6.579,84.585,38,217,134.145,12.535
37,16.377,82.859,47,181,20.556,29.384
38,5.459,112.090,85,164,117.897,10.177
39,12.388,106.977,88,137,-110.480,23.439
40,4.479,113.719,85,157,165.069,8.214
41,14.417,117.121,89,205,-5.599,27.113
42,5.459,118.859,84,168,81.254,10.439
43,13.158,132.000,94,212,-11.669,24.852
44,3.919,156.464,85,224,73.496,7.450
45,6.299,107.200,76,167,23.199,12.089
46,3.919,126.750,70,226,126.027,7.197
47,16.027,74.646,0,135,-47.827,30.342
48,8.398,95.158,61,198,36.870,15.873
49,11.688,82.036,55,202,0.690,21.959
50,7.699,94.273,64,210,90.000,14.550
51,11.338,135.142,49,198,55.713,21.133
52,4.479,151.578,85,192,146.310,7.631
53,18.407,121.213,71,172,-63.239,34.665
54,4.619,137.015,85,187,28.887,8.762
55,12.458,73.798,52,154,-61.133,23.563
56,4.409,86.381,56,177,29.055,8.171
57,9.798,64.107,31,141,50.826,18.428
58,6.719,82.667,48,214,142.651,12.646
59,4.059,117.862,76,234,-49.185,7.690
60,3.079,120.364,85,199,39.472,5.826
61,12.248,116.017,87,188,49.764,22.526
62,4.479,120.938,85,216,142.431,8.678
63,15.117,114.676,51,224,38.157,28.261
64,5.879,126.500,85,208,126.027,10.795
65,10.498,121.167,88,238,-90.000,19.841
66,4.759,126.324,85,195,0.000,8.995
67,15.677,112.375,80,237,47.490,30.146
68,5.809,112.205,85,214,138.945,10.876
69,11.758,117.583,87,190,53.673,22.329
70,3.849,133.345,85,185,149.036,7.713
71,21.486,104.049,68,181,38.136,40.698
72,4.899,119.414,85,194,139.764,9.010
73,8.958,116.719,77,156,-37.569,17.356
74,4.199,145.467,85,233,47.726,7.866
75,18.197,86.365,45,133,81.254,34.796
76,4.339,95.645,69,145,-3.691,8.218
77,15.817,120.478,100,163,82.372,29.894
78,4.409,127.095,85,203,174.472,8.239
79,15.677,102.701,63,190,106.504,29.799
80,4.409,114.397,81,189,18.435,7.529
81,15.677,101.272,0,178,-51.180,29.541
82,5.879,151.238,85,199,40.156,11.076
83,13.437,107.099,66,160,-59.959,25.365
84,5.039,110.931,85,165,33.690,8.585
85,10.078,123.618,90,166,69.075,19.260
86,4.339,137.581,85,204,160.974,8.115
87,15.537,73.842,30,218,-62.969,29.105
88,4.619,80.409,49,158,25.017,8.758
89,12.598,45.561,0,192,-67.964,23.974
90,4.129,44.119,18,122,25.710,7.928
91,19.036,116.085,86,183,-55.146,36.107
92,6.299,115.911,85,192,35.096,11.963
93,11.058,128.082,86,210,-68.600,21.026
94,4.199,124.467,85,171,21.448,7.959
95,11.128,90.811,56,199,109.799,21.088
96,3.849,98.509,64,172,23.749,7.226
97,17.637,103.885,85,140,-16.569,33.397
98,12.598,90.528,44,209,-45.000,22.448
99,3.569,95.392,71,127,41.820,6.745
100,11.198,83.250,50,184,48.545,21.179
101,6.719,102.375,61,209,-28.706,12.668
102,11.898,53.765,35,121,-77.764,22.468
103,3.779,42.556,13,109,12.529,7.317
104,15.257,117.372,96,191,-79.413,28.797
105,4.129,122.017,85,203,9.782,7.785
106,15.607,99.197,75,154,22.659,29.528
107,4.619,112.636,85,197,-66.571,8.650
108,18.756,95.619,55,203,22.917,35.328
109,5.739,99.732,73,142,115.942,10.885
110,16.097,88.778,0,134,25.228,30.414
111,5.389,113.039,85,140,119.932,10.074
112,11.268,105.988,76,195,-77.856,21.378
113,4.479,101.781,69,192,14.931,8.214
114,11.198,73.150,11,111,22.730,21.225
115,3.569,51.490,26,87,-54.462,6.827
116,15.047,103.707,43,183,3.743,28.367
117,6.439,105.728,82,195,88.755,12.172
118,14.837,111.241,66,201,11.944,28.122
119,4.899,102.514,66,200,101.634,9.183
120,18.477,101.973,77,190,4.764,35.042
121,4.759,84.765,25,153,95.042,9.030
122,14.277,33.245,0,118,31.827,27.089
123,5.179,40.378,5,135,-53.746,9.842
124,13.228,26.720,0,107,10.359,25.011
125,4.199,37.483,0,146,97.595,8.007
126,10.918,44.635,0,178,31.849,20.555
127,4.969,76.465,23,194,-49.574,9.383
128,17.357,36.194,0,102,-19.026,32.461
129,6.719,44.344,0,151,66.644,12.679
130,13.437,109.635,70,194,51.340,27.103
131,4.339,128.516,85,203,145.305,8.366
132,15.677,92.196,47,161,6.116,29.799
133,4.759,71.912,38,96,-83.290,9.057
134,16.517,100.928,56,150,10.261,31.187
135,4.689,88.090,55,125,-81.384,8.830
136,16.587,66.637,25,183,7.306,31.206
137,5.319,65.039,24,127,96.009,10.108
138,13.647,33.867,5,164,-73.811,25.619
139,4.759,48.618,21,136,17.354,8.869
140,13.158,103.734,17,140,-65.056,25.092
141,3.989,108.719,85,166,27.474,7.454
142,13.857,79.354,7,163,-5.826,26.061
143,5.179,94.162,57,171,83.830,9.845
144,13.997,108.300,83,176,-88.854,26.460
145,6.649,113.989,85,175,1.219,12.437
146,15.047,126.995,91,189,91.606,28.318
147,6.929,117.424,66,204,1.169,12.966
148,15.117,81.718,55,162,-77.758,28.695
149,5.599,85.463,43,174,11.592,10.532
150,13.507,66.834,14,216,47.526,25.466
151,4.759,74.618,23,185,-36.529,8.889
152,15.257,91.789,45,137,148.946,28.719
153,4.199,110.500,85,163,58.392,8.076
154,13.857,100.874,39,183,-38.027,26.196
155,4.899,113.400,85,188,49.764,9.010
156,13.437,109.344,82,172,138.366,25.485
157,4.059,115.810,85,167,46.397,7.672
158,16.377,75.342,47,180,-85.115,31.065
159,5.669,85.914,55,144,4.399,10.348
160,10.918,106.776,79,183,-67.380,20.635
161,4.619,112.470,85,161,28.887,8.762
162,7.769,127.685,99,210,53.746,14.763
163,3.079,126.841,85,186,153.435,6.507
164,12.038,109.599,89,196,-28.346,22.845
165,4.199,133.400,85,216,57.381,7.852
166,14.137,117.946,71,171,46.202,26.756
167,4.759,127.015,85,192,-35.538,9.103
168,14.417,88.442,63,195,50.123,27.233
169,4.829,101.072,64,202,146.768,9.172
170,13.437,111.969,52,168,91.790,25.409
171,5.599,152.213,85,216,1.432,10.585
172,16.657,113.063,75,253,54.462,31.860
173,6.719,121.135,85,219,145.981,12.767
174,15.327,119.658,87,191,-25.396,28.992
175,6.299,117.311,85,162,66.801,12.089
176,10.358,123.784,91,153,-35.628,19.528
177,4.409,139.571,85,194,47.603,8.239
178,21.276,87.388,60,133,-18.792,40.240
179,6.159,90.966,69,165,65.772,11.604
180,17.497,85.832,48,190,135.324,33.111
181,4.199,92.800,77,151,38.660,8.470
182,14.557,121.558,93,206,-64.916,27.457
183,4.619,132.788,85,166,23.429,8.650
184,13.787,105.482,77,215,98.791,25.966
185,5.599,107.312,80,160,11.592,10.532
186,17.077,74.930,24,255,92.347,32.302
187,4.619,96.318,65,183,0.000,8.730
188,19.876,90.387,61,149,103.055,37.477
189,4.409,101.429,68,157,12.724,8.408
190,17.077,110.742,82,186,-76.192,32.146
191,5.739,122.012,85,188,12.680,10.847
192,15.677,118.259,84,198,47.175,29.578
193,6.369,129.253,85,199,140.356,12.025
194,19.596,70.200,33,162,110.891,37.095
195,6.299,81.944,53,159,23.199,12.089
196,10.498,96.213,58,142,83.066,19.721
197,4.199,108.817,85,158,-1.909,7.941
198,15.117,109.287,73,161,-3.180,28.615
199,5.459,111.128,85,174,84.144,10.372
200,19.876,105.775,65,193,-1.614,37.581
201,5.179,107.595,14,175,83.830,9.845
202,14.977,82.636,0,184,0.000,28.307
203,4.759,76.750,58,116,90.000,8.995
204,15.537,108.167,82,191,112.184,29.427
205,5.179,112.284,85,183,22.380,9.727
206,12.738,83.181,47,145,-31.938,24.004
207,4.479,96.922,54,180,56.310,7.631
208,19.456,107.345,74,157,150.665,36.719
209,5.039,116.792,85,187,56.310,8.585
210,15.747,64.889,30,182,145.886,29.717
211,4.409,75.222,34,172,52.765,8.307
212,6.789,83.722,54,160,22.891,12.922
213,3.919,101.518,69,171,-55.176,7.412
214,11.478,61.341,23,162,-90.699,21.695
215,3.919,76.536,45,135,-2.045,7.412
216,15.537,56.950,26,174,-65.726,29.601
217,11.198,58.831,22,171,26.887,21.060
218,13.857,59.157,20,112,86.496,25.974
219,5.319,85.605,41,170,0.000,10.053
220,11.828,78.876,60,131,32.367,22.238
221,4.199,89.383,68,144,-53.130,7.937
