 ,Area,Mean,Min,Max,Angle,Length
340,5.659,95.150,76,151,71.114,10.681
341,13.015,112.728,88,164,66.228,24.412
342,6.437,113.868,85,179,-18.435,10.933
343,14.713,94.370,60,123,75.426,27.480
344,4.668,118.455,85,196,168.690,8.137
345,15.703,92.820,32,163,32.115,29.516
346,4.810,72.471,52,134,-58.173,9.078
347,13.864,91.908,72,151,-53.973,25.322
348,5.376,99.421,77,143,35.362,10.110
349,13.015,97.815,73,181,0.623,24.470
350,4.810,89.426,54,137,90.000,9.043
351,16.056,74.991,0,176,-93.545,30.111
352,5.588,87.975,67,163,-1.469,10.376
353,12.308,87.339,44,120,-111.557,23.163
354,5.942,92.560,54,159,-13.707,11.224
355,13.722,99.139,70,149,18.622,25.820
356,12.661,101.860,77,150,-72.378,23.719
357,14.500,104.122,75,129,-10.654,27.333
358,16.127,104.833,84,172,73.639,30.213
