 ,Area,Mean,Min,Max,Angle,Length
1,7.326,94.580,62,212,1.660,15.905
2,3.292,100.371,51,198,-90.000,7.143
3,9.662,48.604,2,191,-30.530,20.865
4,3.292,66.855,24,170,55.305,7.286
5,7.114,87.075,47,129,-29.638,15.376
6,2.708,113.137,53,172,54.462,5.946
7,3.398,14.984,0,177,-28.179,7.319
8,2.124,9.050,0,80,53.130,4.608
9,6.583,90.419,57,152,-83.558,14.376
10,5.893,99.000,49,219,9.293,12.841
11,8.866,92.425,38,206,48.879,19.269
12,4.247,96.500,63,161,-36.870,9.216
13,8.335,23.389,0,111,-17.049,18.075
14,4.088,61.000,0,179,-108.435,8.015
15,7.008,92.705,30,202,79.540,15.230
16,3.398,92.281,43,214,-14.470,7.377
17,12.742,58.804,10,107,-82.278,27.437
18,3.982,76.440,39,186,4.635,8.553
19,11.892,71.013,18,132,64.581,25.766
20,3.822,90.264,45,138,-22.989,8.260
21,12.529,52.686,17,161,-92.426,27.213
22,4.247,78.400,42,233,-1.432,9.219
23,12.742,57.804,0,183,85.711,27.727
24,4.406,73.361,28,234,-4.185,9.472
25,7.114,59.463,27,146,-19.250,15.376
26,3.557,73.313,40,130,67.249,7.745
27,9.344,25.494,0,103,-32.421,20.199
28,5.097,52.604,2,209,56.976,10.992
29,8.229,0.897,0,46,-37.614,17.743
30,3.185,35.783,0,182,51.340,7.377
