 ,Area,Mean,Min,Max,Angle,Length
1,472,76.943,28,178,-62.560,234.367
2,152,85.151,38,201,24.880,76.059
3,369,116.854,88,147,-52.943,184.201
4,152,107.164,51,139,29.275,75.664
5,312,116.897,78,190,-32.669,155.618
6,168,115.339,83,162,58.570,84.380
7,313,58.450,10,116,122.978,156.160
8,134,84.478,41,159,33.453,67.119
9,374,104.286,56,165,119.441,187.171
10,145,137.000,98,209,32.593,72.402
11,364,118.648,84,169,-49.635,183.742
12,180,120.811,91,169,39.155,90.272
13,352,47.031,12,198,-54.955,175.889
14,176,49.938,15,176,32.276,89.889
15,462,97.602,41,138,8.727,230.671
16,164,114.146,80,194,99.926,81.216
17,366,86.883,55,158,-54.134,182.628
18,228,96.789,53,178,36.469,114.403
19,364,97.896,59,164,102.095,186.132
20,188,109.649,69,172,11.669,93.941
21,288,83.753,56,155,99.660,143.028
22,160,94.894,56,155,8.637,79.906
23,390,110.305,75,207,-50.607,195.389
24,190,111.953,75,179,36.870,95.000
25,384,86.617,61,136,-50.500,191.802
26,148,89.216,63,160,36.714,73.600
27,364,87.247,54,172,-25.436,181.604
28,200,86.475,49,149,61.894,99.765
29,420,111.943,85,159,-26.321,209.745
30,142,114.331,86,152,59.452,70.831
31,462,83.141,39,135,-24.013,230.991
32,250,83.904,44,171,69.390,125.000
33,264,89.958,56,154,-34.173,131.746
34,124,96.202,71,173,57.600,61.587
35,458,62.061,3,134,-52.829,228.403
36,126,85.595,46,186,42.397,62.290
37,488,132.189,89,173,122.130,244.436
38,133,143.286,113,226,31.551,66.888
39,408,73.559,5,127,-48.180,203.961
40,159,98.742,68,165,43.977,79.209
41,512,47.229,15,182,-58.042,256.944
42,193,68.648,15,176,33.198,96.799
43,462,102.931,46,214,-70.396,232.476
44,148,112.845,84,186,23.806,74.324
45,430,107.593,69,195,-55.052,214.721
46,152,106.671,78,177,32.645,76.007
47,334,127.620,91,166,-41.121,167.260
48,142,138.887,95,213,52.481,70.605
49,435,130.418,98,187,-32.672,218.586
50,140,137.450,99,170,53.130,70.000
51,266,137.075,103,207,-26.757,133.270
52,177,144.695,112,188,57.926,88.510
53,456,96.625,41,129,9.462,231.145
54,162,112.605,85,153,99.230,81.049
55,480,79.835,32,192,-62.152,239.767
56,147,78.463,40,157,23.405,73.007
