 ,Area,Mean,Min,Max,Angle,Length
1,19.310,89.033,62,193,-8.842,36.336
2,3.324,94.638,62,202,82.569,6.169
3,12.308,145.960,114,249,98.596,23.132
4,3.537,142.480,85,204,9.090,6.734
5,12.449,90.244,21,228,89.349,23.406
6,4.810,72.382,10,195,-1.685,9.046
7,12.449,128.898,84,191,178.698,23.410
8,5.305,138.840,85,223,88.452,9.844
9,16.552,105.671,78,230,29.197,31.076
10,4.527,113.859,85,214,119.745,8.577
11,8.488,126.167,52,245,26.565,17.841
12,3.395,140.938,85,206,124.992,6.493
13,9.195,124.477,98,181,107.038,17.246
14,3.820,128.963,85,218,21.038,7.409
15,17.754,44.239,11,144,-43.713,33.483
16,5.517,48.397,8,212,45.000,9.779
17,15.278,113.213,82,180,-36.656,28.511
18,5.376,126.289,85,208,48.240,9.983
19,8.488,123.008,98,205,-19.654,15.815
20,2.263,123.938,85,200,63.435,4.758
21,13.439,137.426,115,186,38.565,25.171
22,3.678,145.558,85,210,-46.548,6.961
23,13.581,99.224,66,200,32.699,25.600
24,5.376,107.592,85,196,-48.240,9.983
25,17.400,95.533,62,241,27.824,32.478
26,6.154,102.287,66,226,-58.134,11.587
27,18.249,108.748,87,196,-19.415,34.403
28,3.961,114.286,85,209,63.435,8.326
29,15.844,105.080,65,200,98.202,29.826
30,5.234,117.770,80,221,9.211,9.969
31,12.944,127.055,92,185,-45.000,22.943
32,4.598,138.738,85,200,40.030,8.683
33,15.561,110.282,79,198,79.509,29.212
34,3.961,114.125,85,179,-4.086,7.466
35,12.732,87.572,20,210,-45.451,23.884
36,3.254,108.130,61,205,43.264,6.209
37,8.064,92.421,20,233,49.939,15.290
38,9.478,89.799,61,187,-35.134,17.561
39,12.025,115.218,94,186,77.764,22.588
40,3.395,129.417,85,220,-4.764,6.405
41,6.437,128.242,105,162,-1.273,11.971
42,2.829,145.850,85,210,-87.138,5.326
43,11.034,113.154,45,161,10.437,20.553
44,4.527,143.234,85,189,104.931,8.258
45,15.703,109.901,81,140,-8.785,29.603
46,4.527,115.562,85,176,-93.576,8.527
47,9.832,81.906,60,208,170.942,18.583
48,3.678,95.673,45,224,-103.496,6.838
49,19.239,113.221,27,255,81.511,36.033
50,6.366,150.311,85,255,-5.080,12.015
51,17.542,100.661,36,249,92.309,33.006
52,6.154,129.655,85,255,1.332,11.439
53,10.186,97.000,27,165,-22.989,19.067
54,4.103,103.069,77,185,60.751,7.621
55,15.632,93.195,67,183,75.838,29.349
56,6.790,105.135,78,184,-12.011,12.780
57,14.854,99.786,66,188,-17.223,27.844
58,5.517,118.513,85,198,67.380,10.372
