 ,Area,Mean,Min,Max,Angle,Length
1,28.827,84.907,47,203,-43.568,40.419
2,6.888,102.037,62,193,40.601,9.878
3,20.918,77.323,0,167,-27.824,29.076
4,5.612,105.250,52,184,59.036,8.330
5,18.112,106.648,0,255,-30.548,25.297
6,4.592,72.111,35,159,60.642,6.556
7,27.551,36.528,5,187,12.875,38.467
8,7.143,67.982,31,206,106.504,10.057
9,16.454,74.977,0,204,-55.081,23.085
10,5.612,40.955,0,98,30.964,8.330
11,26.913,1.398,0,57,34.144,37.542
12,7.653,36.217,0,200,-46.332,10.862
13,20.153,17.006,0,106,-28.496,28.446
14,5.867,57.370,0,246,52.125,8.144
15,24.107,7.683,0,88,65.854,34.051
16,6.633,44.788,0,167,-22.620,9.286
17,31.250,20.478,0,88,-27.607,43.930
18,8.929,33.986,0,145,62.700,12.459
19,26.531,39.803,10,154,2.752,37.186
20,6.122,48.208,30,111,92.386,8.579
21,26.403,25.860,0,188,15.255,36.648
22,6.888,41.167,0,174,-69.444,9.154
