 ,Area,Mean,Min,Max,Angle,Length
1,21.008,89.121,59,163,64.983,39.621
2,12.025,93.706,63,186,-19.926,22.631
3,22.069,105.606,79,199,-59.162,41.506
4,12.732,111.744,79,202,27.699,24.031
5,19.947,103.337,82,188,-33.465,37.620
6,11.247,92.088,64,171,50.102,21.147
7,13.581,98.917,70,193,-45.000,24.072
8,7.922,102.259,81,144,39.936,14.915
9,19.805,76.846,52,162,-56.083,37.177
10,12.166,91.134,55,182,33.136,22.868
11,16.693,110.682,95,157,-42.600,31.434
12,9.973,112.652,89,148,45.000,17.678
13,17.825,85.353,58,190,-119.358,34.176
14,12.166,81.407,57,158,-30.735,22.897
15,20.088,104.496,72,178,25.481,37.711
16,12.166,106.640,79,151,-64.654,22.366
17,16.269,109.261,89,204,-33.968,30.465
18,10.398,107.068,76,153,53.915,19.417
19,21.220,84.113,66,140,60.018,39.916
20,11.317,94.781,64,178,-26.887,21.172
21,22.281,76.483,28,160,1.095,41.763
22,11.176,60.791,23,166,-91.469,20.751
23,18.886,58.449,26,155,-69.394,35.517
24,11.459,69.414,38,176,20.556,20.451
