 ,Area,Mean,Min,Max,Angle,Length
1,12.528,37.385,1,158,6.059,23.810
2,6.999,49.060,19,126,-33.048,13.098
3,11.058,43.582,3,195,78.261,20.805
4,11.338,83.074,50,158,-45.751,21.421
5,10.708,85.869,47,177,-61.091,20.248
6,12.318,92.591,47,214,72.897,23.389
7,11.548,72.952,30,201,6.263,21.823
8,8.608,68.293,44,160,25.726,16.151
9,11.198,30.913,0,173,29.299,21.083
10,11.758,23.958,0,102,-59.621,22.232
11,12.318,54.210,23,150,-37.846,23.284
12,6.579,70.468,34,143,20.344,12.556
13,8.328,97.824,65,201,31.954,15.746
14,11.128,49.654,0,199,17.978,20.999
15,10.638,92.224,64,201,49.236,20.258
16,12.878,54.370,16,160,-35.502,24.372
17,8.608,96.122,66,173,-97.997,16.162
18,10.148,61.172,27,133,11.543,19.171
19,13.437,107.891,79,159,85.212,25.353
20,18.127,80.691,37,146,31.115,34.300
21,10.358,92.743,46,184,71.075,19.577
22,8.958,106.969,69,205,6.242,17.032
23,8.958,103.844,72,135,45.630,17.024
24,13.018,130.425,103,189,3.814,23.862
25,11.268,115.739,93,159,17.987,21.417
26,12.038,93.645,56,158,8.036,22.710
27,10.918,96.154,64,172,18.667,20.664
28,10.638,33.717,1,126,37.020,20.212
29,9.238,85.697,58,108,-17.879,17.234
30,8.608,73.561,43,107,10.222,16.398
31,14.487,84.995,49,177,-23.344,27.373
32,9.238,96.136,64,168,-45.616,17.398
33,15.747,104.182,26,168,57.295,29.867
34,12.458,76.618,10,131,64.011,23.545
