CTAB,Water,GCH,AA,SN,GS
96,86,59,35,0,24
96,78,59,23,20,24
96,115,59,4,2,24
96,100,59,4,17,24
96,110,59,9,2,24
96,98,59,6,17,24
96,95,59,9,17,24
96,103,59,11,7,24
96,99,59,13,9,24
96,95,59,15,11,24
96,106,59,13,2,24
96,86,59,29,6,24
96,83,59,29,9,24
96,79,59,29,13,24
96,103,59,11,7,24
96,99,59,13,9,24
96,95,59,15,11,24
96,103,59,11,7,24
96,99,59,13,9,24
96,95,59,15,11,24
