Water,HEPES,Z2M246I,Au,Z2
103,29,64,31,50
145,69,29,0,36
93,75,39,72,0
126,45,0,75,33
178,33,46,17,4
154,38,32,11,43
129,59,45,35,10
127,41,6,53,51
47,37,75,45,75
169,3,57,0,49
137,75,26,0,41
111,75,18,75,0
33,41,54,75,75
132,59,0,34,53
37,75,59,33,75
144,40,15,56,23
124,70,17,19,48
99,56,20,45,58
60,44,66,74,34
110,75,0,75,19
74,13,68,75,49
95,13,63,32,75
68,57,75,37,42
279,0,0,0,0
123,31,41,44,40
50,41,67,55,64
220,13,45,0,0
93,75,49,51,10
114,75,43,47,0
78,43,22,60,75
200,0,37,13,28
103,42,48,47,38
127,51,25,74,0
168,0,10,75,26
67,30,32,75,75
138,21,42,17,59
84,47,67,20,61
188,0,0,25,66
105,66,2,75,30
130,0,75,74,0
117,34,1,59,67
171,0,32,75,1
90,31,53,52,52
171,0,75,33,0
75,0,54,75,75
71,58,75,75,0
109,39,30,39,62
128,32,25,38,55
9,75,68,75,52
100,14,41,75,48
113,58,60,47,0
-9,65,75,74,75
91,16,75,22,75
117,38,11,43,69
169,53,19,7,30
106,40,57,52,23
155,1,34,66,21
216,0,4,13,46
71,44,58,74,31
91,0,41,75,72
88,14,45,56,74
225,0,16,8,29
61,75,53,19,71
70,40,55,52,62
15,39,75,75,75
227,0,0,52,0
147,33,21,58,19
188,14,45,19,12
125,51,0,75,28
44,75,75,10,75
261,18,0,0,0
182,0,0,22,75
80,67,37,19,75
101,46,48,31,53
207,35,9,20,7
70,68,66,40,35
193,0,72,14,0
144,35,50,0,49
140,43,20,75,0
144,54,12,34,34
169,75,5,16,14
233,0,29,0,17
35,75,19,75,75
62,75,66,6,69
200,22,18,13,26
130,0,75,62,12
204,0,0,75,0
