Water,HEPES,Z2M246I,Au,Z2
146,2,66,23,40
110,11,40,49,67
204,0,21,27,26
108,45,60,25,41
93,50,52,70,12
110,73,50,0,45
180,25,44,7,22
149,21,53,45,10
205,0,43,24,6
145,0,54,65,14
134,59,45,3,37
123,50,30,7,67
225,3,0,40,11
161,23,6,75,13
94,34,61,54,35
68,61,44,67,38
162,33,19,23,41
197,20,20,0,41
161,12,4,67,35
152,35,58,31,3
202,31,32,6,7
10,74,50,75,69
58,67,74,68,10
157,14,69,17,21
191,0,8,56,24
104,4,62,65,42
131,33,39,5,71
64,57,64,25,68
98,75,34,58,14
147,67,1,45,18
181,54,3,29,11
66,30,74,53,54
98,32,61,50,37
185,41,2,44,6
94,71,34,43,37
107,67,29,32,42
29,42,75,63,69
103,71,17,13,75
138,50,15,26,49
134,59,0,39,46
180,15,34,30,19
118,65,35,35,25
132,57,23,11,55
97,43,33,49,55
131,20,21,36,69
131,4,41,58,44
97,64,16,58,43
113,32,74,50,10
171,38,17,35,18
86,48,35,71,37
49,63,43,54,69
155,15,45,16,48
145,75,14,44,0
168,28,11,36,35
101,21,70,75,11
114,0,74,26,64
148,56,0,53,22
116,36,68,19,40
162,8,43,56,9
196,56,9,0,16
110,37,58,60,12
197,11,12,0,58
155,2,70,39,12
198,7,1,62,10
126,3,64,54,31
113,10,47,67,41
64,74,74,56,10
110,69,48,38,14
205,7,22,4,40
84,65,52,34,43
128,69,60,15,6
158,31,53,0,37
180,37,0,2,60
20,75,36,73,74
205,34,16,0,24
189,37,0,24,28
206,12,18,42,0
114,47,67,1,49
28,62,45,74,68
199,10,7,28,34
154,38,39,30,17
176,16,10,50,26
32,72,54,65,55
112,46,37,37,46
140,53,51,15,19
163,19,0,43,53
88,49,24,45,73
