Water,HEPES,Z2M246I,Au,Z2
146,49,33,14,35
183,23,0,61,11
91,52,56,20,59
173,11,18,32,45
117,75,20,62,4
147,0,14,75,43
150,40,67,16,5
109,73,21,47,28
112,53,55,44,14
142,33,32,42,30
69,37,30,75,68
53,75,47,73,31
212,27,30,0,10
59,27,56,75,61
173,28,0,40,38
113,66,33,48,18
153,66,38,0,21
167,60,23,0,28
104,36,74,27,36
123,70,25,1,60
211,4,15,44,4
107,71,17,7,75
142,46,16,0,75
120,0,49,75,35
12,75,61,67,64
176,11,27,11,52
169,0,55,20,34
106,0,36,75,62
84,50,42,74,29
123,53,18,66,18
84,43,29,75,48
103,48,49,38,40
89,28,75,55,32
51,75,75,65,13
136,27,35,33,47
129,12,47,62,29
186,14,31,0,48
132,44,62,10,30
110,57,57,40,13
100,67,70,16,25
193,46,17,9,13
162,27,75,0,15
173,45,18,42,0
135,61,11,30,41
207,0,29,0,43
145,38,28,45,21
176,0,38,40,25
136,35,38,2,68
108,46,75,0,50
119,50,47,28,34
104,75,31,15,54
99,64,34,36,45
60,43,59,68,48
110,75,47,0,47
52,75,44,70,37
94,73,37,60,13
175,20,0,59,25
115,0,60,43,60
109,0,28,75,67
116,0,53,68,41
135,26,26,75,16
84,65,75,0,55
121,11,29,71,47
80,67,60,12,59
70,57,32,55,64
211,52,0,0,16
139,0,68,37,35
61,52,75,36,55
51,75,75,64,14
180,37,0,29,32
105,27,27,75,45
132,0,56,71,20
191,3,29,35,20
113,23,32,48,62
70,75,8,75,51
121,62,15,59,21
108,58,36,71,6
99,58,23,56,42
149,17,22,75,15
180,1,22,0,75
228,9,16,25,0
76,58,36,75,34
234,1,20,23,0
182,7,31,34,24
134,0,67,22,56
156,42,0,21,59
114,37,49,28,50
