Water,HEPES,Z2M246I,Au,Z2
76,21,47,66,68
64,60,5,74,75
94,35,75,0,75
16,75,65,56,67
137,0,74,66,2
71,21,75,36,75
124,25,25,60,44
102,34,68,75,0
100,18,11,75,75
167,75,0,37,0
135,69,0,0,75
246,33,0,0,0
177,4,0,28,68
179,75,25,0,0
95,35,0,74,75
130,0,0,73,75
109,67,74,0,28
55,75,74,74,0
38,75,75,75,17
176,0,28,0,75
153,0,75,51,0
99,52,75,21,32
233,0,0,0,46
153,0,75,51,0
212,43,0,0,24
73,67,15,60,64
83,34,73,29,58
148,56,0,0,75
111,60,37,44,26
110,29,64,75,0
208,0,26,45,0
161,48,68,0,2
276,0,0,3,0
94,74,74,35,0
65,74,64,0,75
15,75,75,66,48
63,42,75,23,75
143,0,11,75,50
128,75,23,30,22
129,75,75,0,0
165,39,75,0,0
114,0,15,75,75
110,22,32,67,47
56,0,75,73,75
130,0,75,45,29
209,0,70,0,0
179,0,45,52,2
134,3,74,0,67
162,42,0,74,0
74,31,60,71,41
205,74,0,0,0
151,0,43,10,75
159,0,75,0,45
53,37,68,66,54
130,0,65,53,31
102,74,75,0,28
6,75,68,55,75
127,0,74,72,5
161,0,0,42,75
92,0,75,37,75
221,0,19,26,13
225,0,54,0,0
130,74,0,0,75
112,23,49,31,63
130,74,0,75,0
130,74,0,0,75
190,3,0,75,11
158,74,0,0,45
140,0,61,74,3
11,75,75,75,44
109,21,75,44,29
71,58,75,0,75
204,0,0,0,75
95,0,75,74,35
71,75,29,75,29
76,64,68,37,34
166,38,75,0,0
274,0,3,1,0
70,61,73,19,55
208,0,34,0,37
162,0,42,0,75
68,49,48,45,68
63,30,61,68,56
250,0,0,29,0
