Water,HEPES,Z2M246I,Au,Z2
165,16,10,46,40
250,0,16,0,13
138,57,9,75,0
128,34,75,26,16
138,75,0,26,40
271,0,8,0,0
135,0,22,75,47
97,54,13,75,40
86,0,75,51,67
235,0,0,44,0
108,74,21,0,75
37,52,39,75,75
157,4,42,75,0
102,69,26,58,22
100,72,44,44,17
8,61,63,74,72
188,2,74,12,2
204,0,0,0,75
40,73,40,49,75
118,0,63,54,43
136,41,37,65,0
186,0,51,38,3
158,0,11,36,74
144,0,17,42,75
201,74,0,0,4
149,0,28,36,66
109,44,75,0,51
186,15,46,0,32
46,48,75,53,56
192,7,39,39,0
82,75,66,55,0
113,24,65,7,69
162,7,51,25,33
166,38,23,0,51
174,52,0,42,10
193,0,0,49,37
126,15,60,75,2
214,42,1,0,22
125,66,30,34,23
194,0,75,0,10
101,0,75,74,29
164,0,52,24,39
166,0,13,25,75
217,0,19,43,0
74,48,75,75,7
176,24,57,1,21
129,35,39,0,75
161,0,75,0,43
182,22,0,74,0
128,75,25,42,8
118,63,59,21,17
58,75,24,47,75
55,0,74,74,75
109,62,2,39,66
163,19,1,20,75
150,15,0,38,75
135,24,4,75,41
186,1,75,16,1
64,65,29,75,46
129,75,0,75,0
155,0,55,68,0
96,71,46,0,65
63,40,67,56,52
121,0,21,61,75
124,0,19,61,75
175,34,0,54,16
16,39,75,74,75
145,60,6,7,60
205,0,74,0,0
187,23,23,34,11
171,55,0,0,53
122,49,0,45,61
213,50,15,0,0
97,75,23,15,68
97,50,56,75,0
128,0,38,75,38
167,71,0,40,0
85,65,26,75,27
193,0,41,44,0
123,25,49,34,47
88,38,75,51,26
190,16,12,46,14
42,51,35,75,75
137,75,67,0,0
83,46,75,0,75
183,33,23,21,18
97,75,24,8,74
