Water,HEPES,Z2M246I,Au,Z2
158,0,43,8,69
117,61,16,14,70
112,33,70,52,11
129,48,33,0,68
84,73,41,30,50
239,0,1,0,39
85,0,75,44,75
105,75,51,0,48
229,0,22,28,0
131,27,53,68,0
118,5,23,75,58
140,0,45,49,45
73,71,46,23,65
61,61,54,62,40
86,75,49,23,45
112,44,55,46,21
159,18,0,59,42
169,11,47,38,13
126,27,74,5,46
149,51,32,24,22
104,7,58,36,73
132,11,43,42,50
141,75,0,19,44
145,3,73,53,5
216,17,3,19,22
56,56,63,54,49
165,38,75,0,0
156,0,26,38,59
122,42,64,10,40
92,35,5,74,72
151,46,8,25,48
109,75,0,54,41
164,0,0,50,65
220,0,43,10,5
118,16,62,20,62
143,17,75,26,17
55,47,45,71,60
118,30,75,0,56
160,23,20,0,75
138,25,63,50,2
93,23,75,50,38
109,13,75,54,27
194,25,0,58,1
120,11,73,68,7
120,28,75,0,56
171,0,37,13,58
186,0,24,58,11
146,34,26,43,29
201,36,0,41,0
146,8,45,36,44
18,49,70,65,75
198,54,10,0,17
148,36,0,27,67
77,63,75,45,19
88,53,10,61,66
57,57,69,33,62
47,47,75,35,75
43,33,74,61,67
47,27,56,72,75
114,20,43,46,55
52,48,56,66,57
194,0,1,56,27
224,20,7,18,10
208,39,21,0,10
175,38,5,0,60
141,43,75,19,0
135,60,25,54,3
165,17,26,23,48
139,47,18,0,75
198,0,0,37,44
135,0,16,52,75
156,48,75,0,0
102,46,37,50,44
92,12,64,34,75
173,21,0,63,22
224,20,0,9,24
110,70,32,37,28
111,0,19,75,74
156,58,36,11,16
165,17,18,29,50
162,33,39,37,7
75,38,62,57,46
134,31,49,48,16
18,75,75,75,37
144,0,32,33,70
135,0,62,53,28
122,51,21,39,44
