Water,HEPES,Z2M246I,Au,Z2
118,24,42,60,34
194,34,0,9,42
187,32,40,10,9
80,73,72,41,13
203,1,6,39,30
217,22,21,2,16
181,24,44,0,30
148,35,37,34,23
73,62,72,0,72
166,42,19,0,51
135,48,23,27,45
100,28,49,66,35
167,28,9,32,42
158,27,75,14,4
191,6,21,39,21
96,61,60,1,60
122,12,43,66,35
137,35,32,41,33
134,75,0,14,56
223,8,7,0,41
116,72,56,17,18
54,70,70,72,12
113,73,23,42,26
141,23,52,8,54
163,16,36,4,59
138,0,46,48,47
120,0,55,34,69
172,7,44,0,56
138,25,19,54,42
94,70,29,36,49
122,48,5,61,42
67,54,63,27,68
220,8,25,18,7
140,55,26,29,28
159,22,53,15,29
177,13,15,48,26
121,8,75,55,20
141,4,14,67,52
124,65,33,10,47
104,13,30,61,70
176,9,18,8,67
82,63,23,58,52
133,60,10,24,51
163,42,35,32,5
101,36,34,70,37
136,34,0,45,64
185,28,45,3,17
88,72,19,48,51
210,13,15,0,41
127,6,69,42,35
119,63,33,36,28
145,54,25,51,3
172,39,40,0,27
157,12,16,27,66
50,53,25,74,75
105,66,9,61,38
93,39,53,20,73
190,11,26,9,43
138,11,33,28,68
124,67,19,11,57
92,39,27,59,61
184,24,0,21,50
74,41,75,14,75
184,70,0,0,24
129,45,15,58,31
106,73,39,13,48
118,20,42,35,63
206,34,15,4,19
104,50,18,66,40
118,25,69,2,64
66,49,72,56,34
133,15,63,0,67
128,9,57,59,25
146,69,0,43,20
127,60,38,9,43
81,70,29,57,42
107,71,35,0,66
88,32,19,73,66
